ess,ess_ratio,frame_idx,heading_rad,num_particles,pdr_err_m,pdr_x,pdr_y,pf_err_m,pf_x,pf_y,route_idx,step_idx,step_len,top10_mass,true_x,true_y,w_entropy,w_max,w_min,w_std,weight_sum
1999.9999999999986,0.9999999999999993,4,2.4224479390896274,2000,0.22545876219432917,10.162390081334765,1.3133724231524082,0.23710938658203365,10.178450680976109,1.2376946123217767,7,1,0.41918544550008213,0.005000000000000003,9.942674863098741,1.262806858528887,7.60090245954208,0.0005000000000000002,0.0005000000000000002,1.0842021724855044e-19,0.999999999999984
1999.9999999999986,0.9999999999999993,8,2.7798594652793405,2000,0.3078176083591736,9.792503376867224,1.4533312234495985,0.33215754151618965,9.808492708083078,1.3778106895039193,13,2,0.39548026489634963,0.005000000000000003,9.48468939030786,1.451838007325388,7.60090245954208,0.0005000000000000002,0.0005000000000000002,1.0842021724855044e-19,0.9999999999999736
1999.9999957960754,0.9999999978980377,12,2.7945021668383347,2000,0.5434176804214128,9.48312606979882,1.565243758639768,0.579044159573632,9.499788369186254,1.4895221871653086,20,3,0.3289965556986699,0.005000263659103913,8.950373019778269,1.6723743475879724,7.600902458491104,0.0005000263659103914,0.000499980069316201,2.2923582248040827e-08,1.000000000000016
1999.9999858570316,0.9999999929285158,16,2.734151081132092,2000,0.6609575369822605,9.136856210360213,1.7146913545147204,0.697459923063708,9.153443347133615,1.6390193322644624,26,4,0.3771437384717337,0.005000560226008854,8.492387571659245,1.8614054963844733,7.600902456006343,0.0005000560230426449,0.0004999472269861725,4.204605874219087e-08,0.9999999999999982
1999.9999763753226,0.9999999881876613,27,2.773635518033636,2000,0.7950871735973633,8.725308296714143,1.8733491787077758,0.8341620145448527,8.742293059130834,1.7976490490344785,33,5,0.4410714119098034,0.005000807746931072,7.95807122991349,2.081941836647058,7.6009024536359195,0.0005000812190227334,0.0004999142172330176,5.43422915449835e-08,0.9999999999999994
1999.9999653963057,0.9999999826981528,31,2.7723286313563733,2000,0.8784774010782004,8.342406961373639,2.021538392412184,0.9187611882623944,8.359416515554154,1.9458993730479257,39,6,0.41057700333052227,0.005001035140483808,7.5000858064663305,2.2709729854435587,7.600902450891179,0.0005001044481815816,0.000499875109387574,6.576824362344904e-08,1.0000000000000004
1999.9999560154713,0.9999999780077357,38,2.7740507477293157,2000,0.9789172798085548,7.897956835277298,2.192668564520214,1.020467601607663,7.915044177568392,2.1170340927118487,46,7,0.476257756254717,0.005001185850594874,6.965769493504414,2.491509325706143,7.6009024485459795,0.000500119810174182,0.0004998616858818207,7.414894576015864e-08,1.0
1999.9999480332276,0.9999999740166138,45,2.761852192788176,2000,1.1105381152905018,7.484003928456718,2.357882058009568,1.1530635626377572,7.501360498941945,2.282099224326733,53,8,0.44570450692826113,0.005001304221649646,6.431453196040303,2.712045665968727,7.600902446550412,0.0005001315518782341,0.0004998457119085233,8.059681564918248e-08,1.000000000000001
1999.9999416973646,0.9999999708486823,52,2.8341734708162356,2000,1.272641403335723,7.166717236398578,2.4586155744301696,1.316733215765082,7.18393960766462,2.382864126873785,59,9,0.332893505925929,0.005001419464879054,5.97346781055104,2.9010768147652284,7.600902444966435,0.000500146704095455,0.0004998338568716464,8.536878602619925e-08,1.0000000000000004
1999.9999371035856,0.9999999685517927,59,2.780259133211409,2000,1.403085683179604,6.7482630863161255,2.6167603066219827,1.447441392075558,6.765134169176244,2.5412196199348474,66,10,0.4473406219440041,0.005001510934468084,5.439151541870773,3.1216131550278123,7.600902443817987,0.0005001577410371827,0.0004998173256791239,8.866821331459305e-08,0.9999999999999989
