file,sigma,window,heading,raw_dtw,latent_bias,max_frames,pdr_mean,pf_mean,pdr_final,pf_final,pf_minus_pdr_final,ess_mean,ess_median,ess_p95,resampled_steps,particle_min,particle_max,target_min,target_max
exp_stage1_weightfix_rawdtw.json,5.0,50,gyro,True,False,180,8.226159179287027,8.151910449682658,9.232108032034446,9.69216982402615,0.46006179199170383,402.9262844801502,395.5004145785548,399.733791969616,1,400,1000,400,1000
exp_stage1_weightfix_rawdtw.json,5.0,150,gyro,True,False,180,8.226159179287027,8.151910449682658,9.232108032034446,9.69216982402615,0.46006179199170383,402.9262844801502,395.5004145785548,399.733791969616,1,400,1000,400,1000
exp_stage1_weightfix_rawdtw.json,5.0,200,gyro,True,False,180,8.226159179287027,8.151910449682658,9.232108032034446,9.69216982402615,0.46006179199170383,402.9262844801502,395.5004145785548,399.733791969616,1,400,1000,400,1000
exp_stage1_weightfix_rawdtw.json,20.0,50,gyro,True,False,180,8.226159179287027,8.195429674448201,9.232108032034446,9.68107509628446,0.448967064250013,419.2764252595076,399.97968336048,399.9989612877145,1,400,1000,400,1000
exp_stage1_weightfix_rawdtw.json,20.0,150,gyro,True,False,180,8.226159179287027,8.195429674448201,9.232108032034446,9.68107509628446,0.448967064250013,419.2764252595076,399.97968336048,399.9989612877145,1,400,1000,400,1000
exp_stage1_weightfix_rawdtw.json,20.0,200,gyro,True,False,180,8.226159179287027,8.195429674448201,9.232108032034446,9.68107509628446,0.448967064250013,419.2764252595076,399.97968336048,399.9989612877145,1,400,1000,400,1000
exp_stage1_weightfix_rawdtw.json,60.0,50,gyro,True,False,180,8.226159179287027,8.19809736250298,9.232108032034446,9.680436754259558,0.4483287222251118,419.353861972958,399.99974688419604,399.9999871771473,1,400,1000,400,1000
exp_stage1_weightfix_rawdtw.json,60.0,150,gyro,True,False,180,8.226159179287027,8.19809736250298,9.232108032034446,9.680436754259558,0.4483287222251118,419.353861972958,399.99974688419604,399.9999871771473,1,400,1000,400,1000
exp_stage1_weightfix_rawdtw.json,60.0,200,gyro,True,False,180,8.226159179287027,8.19809736250298,9.232108032034446,9.680436754259558,0.4483287222251118,419.353861972958,399.99974688419604,399.9999871771473,1,400,1000,400,1000
exp_stage2_ddtw_gyro_no_latent.json,5.0,50,gyro,False,False,180,8.226159179287027,8.080550182864092,9.232108032034446,9.062672241031837,-0.1694357910026092,410.76964026690473,399.4095868700496,399.99999999999176,2,400,1000,400,1000
exp_stage2_ddtw_gyro_no_latent.json,5.0,150,gyro,False,False,180,8.226159179287027,8.080550182864092,9.232108032034446,9.062672241031837,-0.1694357910026092,410.76964026690473,399.4095868700496,399.99999999999176,2,400,1000,400,1000
exp_stage2_ddtw_gyro_no_latent.json,5.0,200,gyro,False,False,180,8.226159179287027,8.080550182864092,9.232108032034446,9.062672241031837,-0.1694357910026092,410.76964026690473,399.4095868700496,399.99999999999176,2,400,1000,400,1000
exp_stage2_ddtw_gyro_no_latent.json,20.0,50,gyro,False,False,180,8.226159179287027,8.193009495288175,9.232108032034446,9.158238529790072,-0.07386950224437427,419.05053114037787,399.99763707537494,399.9996539193969,1,400,1000,400,1000
exp_stage2_ddtw_gyro_no_latent.json,20.0,150,gyro,False,False,180,8.226159179287027,8.193009495288175,9.232108032034446,9.158238529790072,-0.07386950224437427,419.05053114037787,399.99763707537494,399.9996539193969,1,400,1000,400,1000
exp_stage2_ddtw_gyro_no_latent.json,20.0,200,gyro,False,False,180,8.226159179287027,8.193009495288175,9.232108032034446,9.158238529790072,-0.07386950224437427,419.05053114037787,399.99763707537494,399.9996539193969,1,400,1000,400,1000
exp_stage2_ddtw_gyro_no_latent.json,60.0,50,gyro,False,False,180,8.226159179287027,8.192776794138757,9.232108032034446,9.157959106056545,-0.07414892597790157,419.3505771110025,399.99997079782526,399.9999957250675,1,400,1000,400,1000
exp_stage2_ddtw_gyro_no_latent.json,60.0,150,gyro,False,False,180,8.226159179287027,8.192776794138757,9.232108032034446,9.157959106056545,-0.07414892597790157,419.3505771110025,399.99997079782526,399.9999957250675,1,400,1000,400,1000
exp_stage2_ddtw_gyro_no_latent.json,60.0,200,gyro,False,False,180,8.226159179287027,8.192776794138757,9.232108032034446,9.157959106056545,-0.07414892597790157,419.3505771110025,399.99997079782526,399.9999957250675,1,400,1000,400,1000
exp_stage3_qfused_no_latent.json,5.0,50,q_fused,False,False,180,8.238453976334311,8.143081433497304,8.34411247958022,8.194613429220533,-0.1494990503596867,414.73573669441396,399.5608918259741,425.9999999999908,2,400,1000,400,1000
exp_stage3_qfused_no_latent.json,5.0,150,q_fused,False,False,180,8.238453976334311,8.143081433497304,8.34411247958022,8.194613429220533,-0.1494990503596867,414.73573669441396,399.5608918259741,425.9999999999908,2,400,1000,400,1000
exp_stage3_qfused_no_latent.json,5.0,200,q_fused,False,False,180,8.238453976334311,8.143081433497304,8.34411247958022,8.194613429220533,-0.1494990503596867,414.73573669441396,399.5608918259741,425.9999999999908,2,400,1000,400,1000
exp_stage3_qfused_no_latent.json,20.0,50,q_fused,False,False,180,8.238453976334311,8.14356098301217,8.34411247958022,8.194429540109118,-0.14968293947110212,420.99082810404155,399.99826896729337,425.9999999999908,2,400,1000,400,1000
exp_stage3_qfused_no_latent.json,20.0,150,q_fused,False,False,180,8.238453976334311,8.14356098301217,8.34411247958022,8.194429540109118,-0.14968293947110212,420.99082810404155,399.99826896729337,425.9999999999908,2,400,1000,400,1000
exp_stage3_qfused_no_latent.json,20.0,200,q_fused,False,False,180,8.238453976334311,8.14356098301217,8.34411247958022,8.194429540109118,-0.14968293947110212,420.99082810404155,399.99826896729337,425.9999999999908,2,400,1000,400,1000
exp_stage3_qfused_no_latent.json,60.0,50,q_fused,False,False,180,8.238453976334311,8.143438011056858,8.34411247958022,8.19442221892229,-0.14969026065793045,421.0317257456582,399.9999786184019,425.9999999999908,2,400,1000,400,1000
exp_stage3_qfused_no_latent.json,60.0,150,q_fused,False,False,180,8.238453976334311,8.143438011056858,8.34411247958022,8.19442221892229,-0.14969026065793045,421.0317257456582,399.9999786184019,425.9999999999908,2,400,1000,400,1000
exp_stage3_qfused_no_latent.json,60.0,200,q_fused,False,False,180,8.238453976334311,8.143438011056858,8.34411247958022,8.19442221892229,-0.14969026065793045,421.0317257456582,399.9999786184019,425.9999999999908,2,400,1000,400,1000
exp_stage4_qfused_latent_default.json,5.0,50,q_fused,False,True,180,8.238453976334311,8.11150748326483,8.34411247958022,8.932818484192342,0.5887060046121224,424.3877613200116,399.51762400884144,519.0000000000098,12,400,1000,400,1000
exp_stage4_qfused_latent_default.json,5.0,150,q_fused,False,True,180,8.238453976334311,8.11150748326483,8.34411247958022,8.932818484192342,0.5887060046121224,424.3877613200116,399.51762400884144,519.0000000000098,12,400,1000,400,1000
exp_stage4_qfused_latent_default.json,5.0,200,q_fused,False,True,180,8.238453976334311,8.11150748326483,8.34411247958022,8.932818484192342,0.5887060046121224,424.3877613200116,399.51762400884144,519.0000000000098,12,400,1000,400,1000
exp_stage4_qfused_latent_default.json,20.0,50,q_fused,False,True,180,8.238453976334311,8.106573549754133,8.34411247958022,8.93136129924324,0.5872488196630208,430.89680697415525,399.9980972020768,519.0000000000098,12,400,1000,400,1000
exp_stage4_qfused_latent_default.json,20.0,150,q_fused,False,True,180,8.238453976334311,8.106573549754133,8.34411247958022,8.93136129924324,0.5872488196630208,430.89680697415525,399.9980972020768,519.0000000000098,12,400,1000,400,1000
